"scale","abundance_type","region","species","cuid","cu_name_pse","year","perc_anom"
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1985,NA
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1986,NA
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1987,NA
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1988,NA
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1989,-32.9
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1990,-23.6
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1991,-19.5
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1992,6.3
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1993,-2.4
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1994,-8.5
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1995,36.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1996,48.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1997,46.9
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1998,14.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",1999,7
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2000,14.6
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2001,34.2
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2002,35.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2003,46.2
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2004,79.9
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2005,86.8
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2006,88.7
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2007,70.2
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2008,64.2
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2009,51.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2010,41
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2011,30.7
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2012,12
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2013,4.5
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2014,-0.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2015,-2.4
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2016,-33.2
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2017,-45.1
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2018,-40.8
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2019,-46.3
"ConservationUnit","spawner","Skeena","Chinook",229,"Zymoetz",2020,-52.6
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1954,NA
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1955,NA
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1956,NA
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1957,-59.6
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1958,-72.9
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1959,-51.5
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1960,-55.3
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1961,113.1
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1962,238.2
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1963,110.6
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1964,65.6
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1965,-4.3
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1966,12.2
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1967,47.6
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1968,78.3
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1969,114.4
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1970,88.4
"ConservationUnit","spawner","Skeena","Chum",211,"Lower Skeena",1971,34.2
